,0,1
00fe708db8552e30f5fe4dafd93aca5354a6821afb1a9bb7ffb742eee0daec94,1.264638,-1.2007358
010932df499ca4878a4811b1d27ca47479805fb9826dd9c7de742e031133961c,1.651622,-1.872766
0111876a6c6fb3b671308ec54819ef515d226aa340fc1a4f942a34153693d25b,1.108736,-0.94921875
01295f2892c475d53e36026a074df21e9d71de4572bcb4cc73b0697681c075e0,1.4742779,-1.6935291
015102656c3cc5dfa033e900f09b001e33941c797a0af0b7b19f95e4d2d00d98,1.3672729,-1.4125721
0175dfcec484a9893694f2a4f3235812c798ca03f633bbba17c690d648b3404a,0.570508,0.0046668053
01954ce135d4dc018ce0923714a00fd06261b96c37334a1d87a5eaece0a9ae33,0.9581034,-0.7620287
0195ece897ed79611b9b53ce9b8a80225ce8f28f75709c241c7b27116122cf40,1.4123704,-1.4178224
019abeceac2616856a3d7304851d0afbaafbf408e0d0660514c9818a18dc47a2,1.549554,-1.7527289
01a6fa81a61e20ba682e5dac4a07663c75d86f13187ecc8f7732813fce17fd9d,1.057817,-0.9678905
01aad397410f4d7ef218a1087bbe9c88778c7e86b945ffd5b4b9e19d0cecb352,1.2936766,-1.2398517
01d63f10fae15f0e0a566d4d926af5196451923ce271f5fa95238e60a2ac4b6d,0.49648547,0.0146894455
01ddd3d15fe5bf13507d39694f572ee204e9bae82fa3607c780ea7e24491ab26,1.5794127,-1.796413
01f5f8816275ab03267029076c74d8d3e461ffde22c7ca54164670544e067003,1.286205,-1.1083925
01fe1eb066b40f6e76c9425c43a61312fac67fa8a4a18c33e49b128b9df72142,0.72985613,-0.2476505
01fecd20793608541eb7e70b6f64c8c94e75ee6a5fc7fd9a5316d0f22c795c6d,1.0296619,-0.78907704
020beaebf9a5103ad71da77df0a3a415ce5fbf7066030f6efa63f0146ef29fdd,0.99127257,-0.8306172
020d7386bcfadae464e88abd84114659ad13a68debdb558ce1c5beee52bc1510,1.0356562,-0.8643298
0215ccd34f3cca82d54c6d2d7b93b1b098f8702858ac674e13d773c8268ab224,1.1478481,-0.9563832
0216b70b1057d1eda3266f3dcf348c889aa6619cecf4d383c13f9b02f74d3787,1.1405911,-1.0681214
02323694722b51d83e555e456cdbc00b44eef6cd9bd4924b47b98e762da89034,0.82098484,-0.49592447
0243c7c5ef262d2f8f11b8a1e3ab0bb4b0ffcdfe3c562a68453fbed86f27dada,1.1741576,-1.1770511
02699dcb8cbf8f442fc488143169f1adefc0458f274967c9040220d2fd24fee9,1.2322304,-1.3262136
027382f811ae94ce87a0929bd5bace2adaa5c2a36e3aaa23afa3f6980bc96ccf,1.2795134,-1.3163772
02811c29e5049806a773158e64f262b3c746d8f2c5dde38fd6842cafe2a8b132,1.4981797,-1.7527089
028aaf6c9d494679dc3b37ed4da91a11b0c38e63dca71f39dacbd2773c57f53d,1.3060126,-1.2081118
02a62bd5ef31d32425f6cc89af101b9d3d30de2656d4b0c3e4bccf9d4e83796e,1.1927434,-1.0634801
02b369f321b214ee30c5defeacd7d937f72dd8465619060a95826d6fbe8cdf92,1.6925213,-1.8584943
02bd86d80969176579ca9acee6441893ed8948e4baf458628d0da846ed403872,1.252755,-1.2722692
02ce9c024e41bb0768b4868a94e43d9b7d3f3c6653ca198310910446c7162a45,1.3704246,-1.3328302
02d6e0e696418b926c784ba57c921c1cd944ceb629ac5a2b45511495c00400fc,0.8590399,-0.44304132
02eb6aa73e071fb2df181607a3f88becfed2d41988dbc947f35765fa966b8a64,1.5235474,-1.7042732
02edf44a92db50fd4c0383aad5e2c0fd52156de7af4fa796ec468cd543409e67,0.8084221,-0.54727507
03165be6aa95c96df3abf3466e7e5d2ab22f07adb2595c8907484a74ab3d2026,1.0859396,-1.0168884
03192d817703e3f0f4acc1199955dfb623c79a37a9e81878d7f0fcf4a817ecd3,0.57975274,-0.07072556
031b7fba07531419bb6422d24bee9abb798295d4cd15316b935b07766f1c0e24,0.83387375,-0.47687626
0331a59d9305a384b8f59f06c68d9c0ac6418c618c542bd8a4a7dea556e0f45a,1.3644572,-1.3370504
033655a95c5e0c0aec0e51cebc7401cbf8a35cb57b13ea4541d85d0ef2b2bd8f,1.1692061,-1.2436891
034389fba6a82d416266265520a7c1cdc8375f1a1646801ffe83755798107912,0.16793513,0.49494255
0343a28e54bf87caaaf72c4da1ca08e350133523b81373c835cb7dfc6130b13f,1.1397679,-1.2140474
03474b057aa2253d43f78872960ad7fc7a446d8c86f30dcf6db6d21a9cd20df7,1.1642907,-0.97962
036a415e97b40588de2320dc54fa382d8a9023867393bbfa21dc2ccf8c62c6d2,1.3145523,-1.1441772
03710495c74e214fd88b504cf5efd2bb2e4e747ad88de568374cd4d0816c8031,0.9270221,-0.68866014
03799301cb31464f3fa8685a26a95a284cdd89d381d9786aa1d44313b5fd6ff9,0.99128914,-0.9959121
037f2a0fb602607cd222361ac120435ea83ff8838a7561764b1e8a2024077f37,0.27131218,0.34064686
0390f502f0d4caaec7657d6ca5b6091966a2ee8bf2a5a998ce4fe3edaed741cf,1.1329371,-1.1979816
03a00fa149f30dea91b175a2a79490112061ea8d162bbdbc0dba98a222fc8b66,0.8401873,-0.46575904
03abc1ab54b707493314bb595009668369e7447ab5c69d11c50a61340daac6c0,1.1486528,-1.2095573
03b211284404938c1680b6c2a25ee2bac1583082a3a6dd9ff97493b0cf004473,1.3260446,-1.1846659
03c7816c1750d9ed1cb427983c63e22d17eef9bc99abe36119a2044c5d868888,1.138304,-1.1737018
03ca4d036102b0c22bef1ac3b5c580560007eb90fb647fd6b8513f91eece294d,0.6300024,0.09267664
03d329b34007a79f3bcf9b46e0d1f391e0f409efebd483201b9a2498d5fcbf09,1.1005303,-1.0025396
03e11126ffb1329843991b66510552ad1cb26396a0e3a59a63d453233d6e43f6,1.3008819,-1.4268391
03fb740b4bb5aeff38d9de36ae76bd44c48db055c4f9bc1ee0476c5ef329f9f1,1.1008978,-1.1494284
0402c73df8e901599c7bcdd30f374fda067eb22b247f26a8fd55bd76ce45feab,1.419921,-1.583183
04055f18212e96c18b2f6d4b59bc37aab3ee53b87d5f6dbc583a8731de2e3a4a,1.198714,-1.1958051
04070b658d09c05373555a3beeb6a3dfee269a746d4825b3eb4c46d8f5124f2f,1.322552,-1.3224068
